日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-08,2914,4905.0,202511,5250.0,381.15,30.165799679606263,0.241148,4700.0,311152914,54.39392975621104,,0.241148
2025-10-08,3382,1982.0,202511,2000.0,68.81,46.30075057329714,0.240836,1900.0,311023382,22.15686936431257,,0.240836
2025-10-08,4063,5090.0,202511,5250.0,287.74,113.33828916374704,0.308381,4800.0,311204063,66.35106414479606,,0.308381
2025-10-08,4502,4356.0,202511,4600.0,290.84,39.823372394699845,0.246092,4100.0,311124502,32.28058744153918,,0.246092
2025-10-08,5108,7041.0,202511,7500.0,485.93,22.94676137584964,0.187216,6500.0,311025108,10.895039747612202,,0.187216
2025-10-08,5401,614.0,202511,640.0,38.2,10.660781623877426,0.295329,580.0,311125401,7.553503774765801,,0.295329
2025-10-08,5713,5133.0,202511,5500.0,439.55,61.15841165027291,0.314644,4800.0,311065713,59.35085812606553,,0.314644
2025-10-08,5802,4533.0,202511,4800.0,344.77,66.63634211115163,0.313714,4400.0,311045802,102.40195294256525,,0.313714
2025-10-08,6098,8014.0,202511,8500.0,707.29,191.9310686220933,0.410573,7500.0,311136098,163.20467942813684,,0.410573
2025-10-08,6301,5394.0,202511,5750.0,434.57,66.60392893265794,0.306299,5000.0,311156301,48.89449911358349,,0.306299
2025-10-08,6501,4477.0,202511,4700.0,360.03,120.1437421848368,0.406865,4300.0,311186501,127.66922673095678,,0.406865
2025-10-08,6503,4089.0,202511,4200.0,205.96,84.53872060026788,0.280078,3800.0,311036503,31.029892764489773,,0.280078
2025-10-08,6594,2650.5,202511,2800.0,198.08,41.7897871535373,0.318187,2600.0,311036594,72.36936437352142,,0.318187
2025-10-08,6702,3891.0,202511,4000.0,199.06,80.09003975389828,0.28204,3600.0,311026702,27.111206323108377,,0.28204
2025-10-08,6723,1844.0,202511,1900.0,124.21,60.964073058729696,0.402301,1800.0,311046723,63.61627037014,,0.402301
2025-10-08,6752,1763.5,202511,1850.0,141.57,48.33422624567106,0.409936,1700.0,311196752,53.31135792309442,,0.409936
2025-10-08,6758,4545.0,202511,4800.0,383.32,111.73946573938451,0.403918,4324.0,311186758,112.90391296133272,,0.403918
2025-10-08,6762,2268.0,202511,2400.0,179.38,40.84401809652627,0.345626,2200.0,311046762,58.40411102399787,,0.345626
2025-10-08,6861,58860.0,202511,62000.0,4350.89,1047.704955398338,0.330413,56000.0,311166861,1032.4014957764955,,0.330413
2025-10-08,6954,4507.0,202511,4800.0,347.19,45.75734754067776,0.27915,4200.0,311036954,36.15261757944995,,0.27915
2025-10-08,7203,3009.0,202511,3200.0,240.61,42.28738701235466,0.318554,2900.0,311167203,61.76431338152929,,0.318554
2025-10-08,7974,12845.0,202511,13500.0,1011.43,311.4466106106929,0.386032,12250.0,311087974,306.2305399437437,,0.386032
2025-10-08,8035,29255.0,202511,30500.0,2584.81,1191.406359792756,0.510786,27750.0,311418035,1017.9569140516816,,0.510786
2025-10-08,8306,2345.5,202511,2500.0,189.42,29.625212068899486,0.309102,2200.0,311158306,27.65777919270488,,0.309102
